"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"25","2. Mayat merasa terhibur dengan para pengiring yang berada disekitar kuburnya setelah dikuburkan. #ibnulqayyimaljauziyyah",FALSE,9,NA,2015-04-03 10:51:22,FALSE,NA,"583944877219553280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",7,FALSE,FALSE,NA,NA
"26","1. Apakah orang mati mengetahui orang hidup yang berziarah dan mengucap salam kepadanya? #ibnulqayyimaljauziyyah",FALSE,13,NA,2015-04-03 10:49:53,FALSE,NA,"583944502244614144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",10,FALSE,FALSE,NA,NA
"27","RT @LuqyanaAzmiya: @farhatabbaslaw klo yg ini saya setuju sm om farhat (y) (y)",FALSE,0,NA,2015-04-03 10:35:32,FALSE,NA,"583940891749912578",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",5,TRUE,FALSE,NA,NA
"28",NA,FALSE,0,NA,2015-04-03 10:33:29,FALSE,NA,"583940374764224512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",6,TRUE,FALSE,NA,NA
"29","RT @08_manyu: @farhatabbaslaw  mohon maaf tas kicauan2 bang farhat.bang farhat juga sudah maafin http://t.co/fyYic5ffPy kok",FALSE,0,NA,2015-04-03 10:32:46,FALSE,NA,"583940194069393408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",4,TRUE,FALSE,NA,NA
"30","#AKUINDONESIA majukan seni budaya bangsa ! #sindotv",FALSE,22,NA,2015-04-03 09:53:03,FALSE,NA,"583930202629079040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",19,FALSE,FALSE,NA,NA
"31","Mengapa pelawak banyak dosanya ? Baca nih ! http://t.co/hlSVpkWDHf &amp; tragis matinya?",FALSE,34,NA,2015-04-03 09:10:34,FALSE,NA,"583919507791458304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",11,FALSE,FALSE,NA,NA
"32","http://t.co/luSwgnp2zV",FALSE,28,NA,2015-04-03 09:06:21,FALSE,NA,"583918450684272641",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",3,FALSE,FALSE,NA,NA
"33","RT @erte_erwe: @farhatabbaslaw bener Om, ane juga heran..",FALSE,0,NA,2015-04-03 09:02:25,FALSE,NA,"583917456764174337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",2,TRUE,FALSE,NA,NA
"34","Terbukti ! Kontrak Mati Mak Vera dengan Olga, gaya hidup artis ( mewah &amp; begini2 aja )  http://t.co/oo6GenR6PA",FALSE,58,NA,2015-04-03 08:44:40,FALSE,NA,"583912992070242304",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","farhatabbaslaw",18,FALSE,FALSE,NA,NA
"35","RT @lufidza23: @farhatabbaslaw thank you bang udh di follbak tlng cmntrx buat #RIPDAcademy2 ini tnda kekecewaan km trhdp para juri",FALSE,0,NA,2015-04-03 08:36:05,FALSE,NA,"583910832284643328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",6,TRUE,FALSE,NA,NA
"36","Aneh nih pemuda kita!?Artis bokep, artis bencong, artis kurang ajar setelah merusak bangsa, masih aja digemari &amp; dimuliakan,kebalik-balik",FALSE,46,NA,2015-04-03 08:34:42,FALSE,NA,"583910484572672001",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",52,FALSE,FALSE,NA,NA
"37","RT @lufidza23: @farhatabbaslaw Iis beniqno rita inul cm krn idola ABG rizki ridho di prtahankan yg bgs di snggol cm bang ipul ksh lmpu mera…",FALSE,0,NA,2015-04-03 08:30:43,FALSE,NA,"583909482855407616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",14,TRUE,FALSE,NA,NA
"38","Gak marah, gak bo'ong, gak bugil,,",FALSE,26,NA,2015-04-03 08:28:54,FALSE,NA,"583909022027292674",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",5,FALSE,FALSE,NA,NA
"39","Silahturahmi tetap dijaga, untuk bekal nanti di surga,,",FALSE,18,NA,2015-04-03 08:28:17,FALSE,NA,"583908868054351872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",13,FALSE,FALSE,NA,NA
"40",NA,FALSE,0,NA,2015-04-03 08:26:56,FALSE,NA,"583908528986787841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",4,TRUE,FALSE,NA,NA
"41","Stop berbicara tentang orang yg sudah mati, maree kita berdiskusi tentang kematian saja, sebagai bekal nanti, jaga hidup sebelum mati.",FALSE,22,NA,2015-04-03 08:26:28,FALSE,NA,"583908410686439425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",23,FALSE,FALSE,NA,NA
"42","Saya adalah panggung medsos twitter, buat apalagi cari panggung,cari punggung mungkin maksud mereka.? He he",FALSE,23,NA,2015-04-03 08:24:50,FALSE,NA,"583908002538790913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",8,FALSE,FALSE,NA,NA
"43","Banyak yg minta sy berpendapat, banyak juga yg sebaliknya. ( mengenai twitter land )",FALSE,17,NA,2015-04-03 08:24:21,FALSE,NA,"583907879184306176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",5,FALSE,FALSE,NA,NA
"44","Media sosial tidak membatasi hal itu, mengalir seperti air, ( tentang twit2 saya )",FALSE,17,NA,2015-04-03 08:23:47,FALSE,NA,"583907738142420992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",9,FALSE,FALSE,NA,NA
"45","@isave_prasetya dari dulu orang lebih takut dg misteri hari jumat daripada hari-hari lainnya,padahal semua hari sama, kecuali matahari.",FALSE,9,"isave_prasetya",2015-04-03 08:20:56,FALSE,"583901966763339776","583907020660551680","499704024","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",1,FALSE,FALSE,NA,NA
"46","RT @isave_prasetya: Kata2nya bang @farhatabbaslaw emg penuh misteri &amp;  teka-teki B-) ,",FALSE,0,NA,2015-04-03 08:19:19,FALSE,NA,"583906610335981568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",2,TRUE,FALSE,NA,NA
"47","Malam Jumat Kliwon ( lagu buat yang mati pada hari jum'at )  http://t.co/PvAIYeDLF3",FALSE,22,NA,2015-04-03 07:59:29,FALSE,NA,"583901619827277824",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","farhatabbaslaw",10,FALSE,FALSE,NA,NA
"48","RT @Zammeell: @farhatabbaslaw bang sy salut sma anda
omongan anda tu menginspirasi banget
buat sy omongan anda pantes banget
buat nyadarin …",FALSE,0,NA,2015-04-03 07:56:19,FALSE,NA,"583900823844827139",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",5,TRUE,FALSE,NA,NA
"49","@134fe026bf3f4cb selamat bergabung,",FALSE,8,"134fe026bf3f4cb",2015-04-03 07:56:00,FALSE,"583900549088612352","583900743783952384","3123110582","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",0,FALSE,FALSE,NA,NA
"50","RT @134fe026bf3f4cb: Baru2 aja bergabung di twitter krena pengen koment twitnya Mr.@farhatabbaslaw ..",FALSE,0,NA,2015-04-03 07:55:46,FALSE,NA,"583900685579591681",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",4,TRUE,FALSE,NA,NA
"51","RT @AulianaDemusfa_: @farhatabbaslaw bang gua salut sma lu, kata kata lu tu menginspirasi banget buat gue, kata kata lu pantes banget buat …",FALSE,0,NA,2015-04-03 07:51:38,FALSE,NA,"583899644314292224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",3,TRUE,FALSE,NA,NA
"52","#RIPmpoknuri tenang &amp; jangan khawatir apapun dan ama siapapun dosamu, pasti terampuni, berkat meninggal dihari jum'at,, Amin.",FALSE,71,NA,2015-04-03 07:09:38,FALSE,NA,"583889074039029760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",69,FALSE,FALSE,NA,NA
"53","3 hal yg menakutkan manusia : 1. sukses diusia muda, 2. Jatuh bangkrut diusia tua, 3. Punya penyakit yang gak ada obatnya.",FALSE,57,NA,2015-04-03 06:11:32,FALSE,NA,"583874455673274369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",53,FALSE,FALSE,NA,NA
"54","Demi promosi konser #artispenipu ini sengaja jelek2in gue curhat sana sini,, tapi percaya deh,aib&amp;belangnya yg akan terbuka. Tuhan maha tahu",FALSE,49,NA,2015-04-03 03:15:49,FALSE,NA,"583830234933301248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",35,FALSE,FALSE,NA,NA
"55","Farhat Siap Kembalian Berlian Titipan Rina ( tahu diri dong! Kalo bukan krn gue! Hancur masa depan kalian ) http://t.co/7Q762NMubE",FALSE,49,NA,2015-04-03 03:03:15,FALSE,NA,"583827070158934017",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","farhatabbaslaw",8,FALSE,FALSE,NA,NA
"56","Farhat Abbas Bantah Nia Lepas Tangan ( saat anak malingpun artis ini membuat orang nangis ) http://t.co/Kb44d8aXeW",FALSE,40,NA,2015-04-03 03:02:02,FALSE,NA,"583826765350481920",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","farhatabbaslaw",5,FALSE,FALSE,NA,NA
"57","Farhat Abbas Bantah Nia Lepas Tangan ( nih gue bela habis2an ) masih aja gue difitnah. http://t.co/Kb44d8aXeW",FALSE,24,NA,2015-04-03 03:01:11,FALSE,NA,"583826553261330432",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","farhatabbaslaw",4,FALSE,FALSE,NA,NA
"58","8. #artispenipu ini tinggal dimana? Naik mobil siapa? Makan darimana?",FALSE,30,NA,2015-04-03 02:55:08,FALSE,NA,"583825027130228736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",6,FALSE,FALSE,NA,NA
"59","7. Artis ini ngaku tak bahagia? Tanya kemana aja selama ini? Jalan2 kemana aja? Dapat apa aja? Tuh di tv ada buktinya? #artispenipu",FALSE,23,NA,2015-04-03 02:54:38,FALSE,NA,"583824902722985984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",4,FALSE,FALSE,NA,NA
"60","6. Sakitnya yg hepatitis B itu gak akan pernah sembuh, apalagi sakit hatinya itu,, pasti sampai mati. #artispenipu",FALSE,15,NA,2015-04-03 02:53:16,FALSE,NA,"583824557322018816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",8,FALSE,FALSE,NA,NA
"61","5. Ngaku pisah ranjang 7 tahun ngaku tersiksa lahirbathin,ngaku aja sekalian ngejebak mantu dg menyembunyikan masa lalu maling #artispenipu",FALSE,16,NA,2015-04-03 02:52:02,FALSE,NA,"583824249095262208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",7,FALSE,FALSE,NA,NA
"62","4. Ngaku kaya raya padahal sekeluarga sekampung ditampung gue 12 tahun, masih ngaku menderita. #artispenipu",FALSE,19,NA,2015-04-03 02:50:50,FALSE,NA,"583823945637310464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",8,FALSE,FALSE,NA,NA
"63","3. Semua musuh2 gue dirangkulnya direkayasa menyudutkan gue, #artispenipu",FALSE,18,NA,2015-04-03 02:49:51,FALSE,NA,"583823700660629505",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",6,FALSE,FALSE,NA,NA
"64","2. Berani gak cerita dan ngaku punya anak penipu, lesbian, bodoh, putus sekolah dll ? #artispenipu",FALSE,21,NA,2015-04-03 02:49:06,FALSE,NA,"583823509895319552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",7,FALSE,FALSE,NA,NA
"65","1. #artispenipu sandiwaranyapun tentang tipudaya, gak ngaku punya anak penipu.",FALSE,18,NA,2015-04-03 02:48:25,FALSE,NA,"583823339203923969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",4,FALSE,FALSE,NA,NA
"66","Sumpah pocong presiden RI http://t.co/89Rkj0kNap",FALSE,23,NA,2015-04-03 00:18:21,FALSE,NA,"583785575213240321",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","farhatabbaslaw",16,FALSE,FALSE,NA,NA
"67","Farhat Abbas Nyanyi Sumpah Pocong. GoPe Style (Goyang Pocong Style) dengan Lirik ( buat sahabat di sorga ) http://t.co/89Rkj0kNap",FALSE,27,NA,2015-04-03 00:15:23,FALSE,NA,"583784828140556288",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","farhatabbaslaw",19,FALSE,FALSE,NA,NA
"68","Regina feat. Farhat Abbas - Suntik Mati http://t.co/OAOrNkJPcq",FALSE,28,NA,2015-04-02 23:16:21,FALSE,NA,"583769971374755840",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","farhatabbaslaw",20,FALSE,FALSE,NA,NA
"69","Salam #AKUINDONESIA !!! Semangat !",FALSE,51,NA,2015-04-02 13:56:13,FALSE,NA,"583629008526385153",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",29,FALSE,FALSE,NA,NA
"70","ELLino Edie - Live @Matrix Tv http://t.co/JZzWXdMhRx",FALSE,31,NA,2015-04-02 11:30:06,FALSE,NA,"583592234798358529",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","farhatabbaslaw",7,FALSE,FALSE,NA,NA
"71","RT @Rachafif: kepengen jadi trading topic ? ikutin acara bang  @farhatabbaslaw",FALSE,0,NA,2015-04-02 10:38:18,FALSE,NA,"583579202185592832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",31,TRUE,FALSE,NA,NA
"72","RT @I_amSumP12: @farhatabbaslaw tumben. ternyata masih ada kata-kata yang bermanfaat dari seorang manusia fenomenal seperti anda :D",FALSE,0,NA,2015-04-02 10:37:33,FALSE,NA,"583579013269979137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",29,TRUE,FALSE,NA,NA
"73","RT @ZVLAZHARZOLA: @Almisundari  gue masih benci koruptor yg makan uang rakyat daripada @farhatabbaslaw",FALSE,0,NA,2015-04-02 08:35:58,FALSE,NA,"583548415180607488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",11,TRUE,FALSE,NA,NA
"74","RT @Almisundari: Tiap hari buka dan baca tweet tweet nya om farhat, yang bikin penasaran :-) :-) @farhatabbaslaw",FALSE,0,NA,2015-04-02 06:00:54,FALSE,NA,"583509388909944834",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",13,TRUE,FALSE,NA,NA
"75","RT @Sabah5893: Udah di maafin yah bpk President RT @farhatabbaslaw: #SEMOGAYOGAMASUKSORGA""",FALSE,0,NA,2015-04-02 02:11:38,FALSE,NA,"583451693217521665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",15,TRUE,FALSE,NA,NA
"76","#SEMOGAYOGAMASUKSORGA",FALSE,256,NA,2015-04-02 02:05:22,FALSE,NA,"583450115886559232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",263,FALSE,FALSE,NA,NA
"77","RT @keansantang3: @farhatabbaslaw Pendidikan smpe S3 UNPAD nge bacot udah gini apalagi S3 di Harvard lu bang, bisa2 ngerasa jadi tuhan ya...",FALSE,0,NA,2015-04-02 01:59:02,FALSE,NA,"583448522847981569",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",350,TRUE,FALSE,NA,NA
"78","Aku merasa orangtermiskin didunia, yang penuh derita bermandikan airmata, itulah diriku,kita jauh berbeda kau orang kaya aku orang tak punya",FALSE,128,NA,2015-04-02 01:30:47,FALSE,NA,"583441413100019712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",129,FALSE,FALSE,NA,NA
"79","RT @tungapaja: @farhatabbaslaw gw fikir ni orng pling senang klau kita komen trus tiap tweet nya emang itu yg dia mau.lbh baik kt smua cuek",FALSE,0,NA,2015-04-02 01:26:46,FALSE,NA,"583440401266114561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",48,TRUE,FALSE,NA,NA
"80","10. Bukan datang hilang hape, hilang hape masuk Tv,, masyaallah?",FALSE,76,NA,2015-04-02 01:13:32,FALSE,NA,"583437074595848194",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",41,FALSE,FALSE,NA,NA
"81","9. Jangan malu2in,, baru pertama kehilangan hape ya? Makanya jgn bawa hape ke keramaian, pergi bawa doa pulang dapat hape.",FALSE,75,NA,2015-04-02 01:12:50,FALSE,NA,"583436897113903104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",47,FALSE,FALSE,NA,NA
"82","8. Sayangilah persahabatan, bukan sayangi hartamu,,",FALSE,67,NA,2015-04-02 01:11:40,FALSE,NA,"583436604087246848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",44,FALSE,FALSE,NA,NA
